Leaf_Num,Leaf_Area,Undisturbed,Percent_Undisturbed,Percent_Herbivory,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,15,0.625,37.5,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,19,0.655172414,34.48275862,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,17,0.607142857,39.28571429,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,13,0.565217391,43.47826087,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,21,0.954545455,4.545454545,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,22,0.846153846,15.38461538,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,18,0.666666667,33.33333333,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,17,0.68,32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,21,0.7,30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,25,0.806451613,19.35483871,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26.5,18.8,0.710635024,28.93649757,Average,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,28,1,0,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,23,0.884615385,11.53846154,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,28,0.965517241,3.448275862,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,30,0.967741935,3.225806452,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,27,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,22,0.956521739,4.347826087,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,28,0.933333333,6.666666667,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,20,0.909090909,9.090909091,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,23,0.884615385,11.53846154,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24,21,0.875,12.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26.6,25,0.937643593,6.235640724,Average,,,,,,,,
